Quest Title,Type,Objectives,Rewards,Required for Kappa,Previous Quest,next
General Wares,Completion,"Find 15 Small cans of beef stew in raid
Hand over 15 Small cans of beef stew to Therapist","+4,800 EXP
Therapist Rep +0.03
30,000 Roubles
4× Can of pacific saury
2× Iskra ration pack
2× Can of Majaica coffee beans",Yes,"Previous:
Pharmacist","Leads to:
Colleagues - Part 1"
Colleagues - Part 1,Exploration,"Locate the group that was sent to the Health Resort on Shoreline
Locate the group that was sent to the pier on Shoreline
Locate the group that was sent to the cottages on Shoreline
Survive and extract from the location","+12,300 EXP
Therapist Rep +0.04
45,000 Roubles
2× SJ1 TGLabs combat stimulant injector
2× SJ6 TGLabs combat stimulant injector",Yes,"Previous:
General Wares","Leads to:
Colleagues - Part 2
Chemistry Closet"
Colleagues - Part 2,PickUp,"Locate and obtain Sanitar's surgery kit marked with a blue symbol on Shoreline
Hand over Sanitar's surgery kit to Therapist
Locate and obtain Sanitar's ophthalmoscope on Shoreline
Hand over Sanitar's ophthalmoscope to Therapist","+12,400 EXP
Therapist Rep +0.04
60,000 Roubles
1× Surv12 field surgical kit
1× P22 (Product 22) stimulant injector",Yes,"Previous:
Colleagues - Part 1","Leads to:
The Huntsman Path - Sadist
or
Colleagues - Part 3"
Colleagues - Part 3,PickUp,"Do not kill Sanitar
Find 10 TerraGroup Labs access keycards in raid
Hand over the keycards
Find AHF1-M stimulant injector in raid
Hand over the injector
Find 3-(b-TG) stimulant injector in raid
Hand over the injector","+15,800 EXP
Therapist Rep +0.04
Fence Rep +0.25
150,000 Roubles
1× TerraGroup Labs keycard (Black)
1× Medicine case
3× L1 (Norepinephrine) injector
3× Meldonin injector
5× ""Obdolbos 2"" cocktail injector
4× Grizzly medical kit","No, but a subsequent quest Yes","Previous:
Colleagues - Part 2
Rigged Game
Chemistry Closet","Leads to:
TerraGroup Employee
Swift One"
Postman Pat - Part 2,PickUp,Hand over the letter from Prapor's messenger,"+3,500 EXP
Therapist Rep +0.02
5,000 Roubles
Unlocks purchase of Salewa first aid kit at Therapist LL2",Yes,"Previous:
Postman Pat - Part 1","Leads to:
-"
Out of Curiosity,PickUp,"Find the transport with the chemicals on Customs
Mark the vehicle with an MS2000 Marker
Survive and extract from Customs","+7,700 EXP
Therapist Rep +0.04
170,000 Roubles
1× Injector case","No, but a subsequent quest Yes","Previous:
Chemical - Part 3","Leads to:
Loyalty Buyout
No Offence
Safe Corridor"
Trust Regain,PickUp,"Obtain 1 Dorm room 303 key
Obtain 1 ZB-014 key
Obtain 1 Military checkpoint key
Obtain 1 Gas station storage room key
Hand over 1 Dorm room 303 key to Therapist
Hand over 1 ZB-014 key to Therapist
Hand over 1 Customs military checkpoint key to Therapist
Hand over 1 Gas station storage room key to Therapist",Therapist Rep +0.25,No,"Previous:
Chemical - Part 4
or
Big Customer","Leads to:
-"
Crisis,PickUp,"Find 3 Portable defibrillators in raid
Find 3 Ophthalmoscopes in raid
Find 2 LEDX Skin Transilluminators in raid
Find 20 Piles of meds in raid
Find 10 Bottles of OLOLO Multivitamins in raid
Hand over the 3 ophthalmoscopes
Hand over the 3 defibrillators
Hand over the 2 LEDX
Hand over the 20 Piles of meds
Hand over the 10 multivitamins","+97,000 EXP
1× Medicine case
+4 Immunity skill level
+4 Vitality skill level
+4 Surgery skill level
Unlocks craft for ETG-change regenerative stimulant injector at Medstation level 2
Unlocks craft for M.U.L.E. stimulant injector at Medstation level 2",Yes,,
Seaside Vacation,PickUp,"Find the informant's briefcase on Lighthouse
Hand over the found package","8,000 EXP
Therapist Rep +0.02
50,000 Roubles
Unlocks purchase of Aluminum splint at Therapist LL3",Yes,"Previous:
Disease History","Leads to:
-"
Lost Contact,Discovery,"Find the lost group in the chalet area on Lighthouse
Survive and extract from the location","+7,000 EXP
Therapist Rep +0.02
40,000 Roubles
Unlocks barter for Grizzly medical kit at Therapist LL2",Yes,"Previous:
Health Care Privacy - Part 2","Leads to:
Drug Trafficking"
Population Census,PickUp,"Obtain the journal containing resident details on Streets of Tarkov
Hand over the journal","+6,900 EXP
Therapist Rep +0.02
35,000 Roubles
2× Salewa first aid kit
2× Medical tools",No,"Previous:
Pharmacist","Leads to:
Urban Medicine
Pets Won't Need It - Part 1"
Dangerous Road,Exploration,Survive and extract from Streets of Tarkov through Primorsky Ave Taxi V-Ex,"+7,800 EXP
Therapist Rep +0.01
45,000 Roubles
2× Aluminum splint
2× CALOK-B hemostatic applicator",No,"Previous:
Kind of Sabotage
or
Supply Plans","Leads to:
-"
Urban Medicine,PickUp,"Locate the chemical laboratory on Streets of Tarkov
Obtain the container with drug samples
Hand over the container","+10,200 EXP
Therapist Rep +0.02
51,000 Roubles
2× Adrenaline injector
1× Zagustin hemostatic drug injector",No,"Previous:
Population Census","Leads to:
The Huntsman Path - Big Game
Ambulances Again"
Drug Trafficking,Completion,"Locate the hidden drug lab on Lighthouse
Stash a WI-FI Camera in the drug lab","+7,500 EXP
Therapist Rep +0.03
45,000 Roubles
1× Propital regenerative stimulant injector
1× ETG-change regenerative stimulant injector
1× Zagustin hemostatic drug injector",Yes,"Previous:
Lost Contact","Leads to:
-"
Pets Won't Need It - Part 1,Exploration,"Locate and scout the vet clinic on Streets of Tarkov
Locate and scout the x-ray technician's room on Streets of Tarkov
Survive and extract from the location","+8,100 EXP
Therapist Rep +0.01
43,000 Roubles
4× Adrenaline injector
2× Medical bloodset
2× Bottle of saline solution",No,"Previous:
Population Census","Leads to:
Pets Won't Need It - Part 2"
Pets Won't Need It - Part 2,Exploration,"Locate the first pharmacy on Primorsky Ave on Streets of Tarkov
Locate the second pharmacy on Primorsky Ave on Streets of Tarkov
Locate the third pharmacy at Cardinal apartment complex on Streets of Tarkov
Survive and extract from the location","+9,000 EXP
Therapist Rep +0.02
55,000 Roubles
4× Disposable syringe
4× Pile of meds
2× Morphine injector
2× L1 (Norepinephrine) injector",No,"Previous:
Pets Won't Need It - Part 1","Leads to:
-"
Ambulances Again,Pickup,"Locate and obtain the ambulance paramedic's smartphone on Streets of Tarkov
Extract from Streets of Tarkov through Primorsky Ave Taxi V-Ex
Hand over the smartphone","+12,000 EXP
Therapist Rep +0.01
100,000 Roubles
2× Grizzly medical kit
2× Surv12 field surgical kit
Unlocks barter for Propital regenerative stimulant injector at Therapist LL2",No,"Previous:
Cease Fire!
Urban Medicine","Leads to:
-"
Burning Rubber,Completion,Use the paid vehicle extraction on Ground Zero,"+1,900 EXP
Skier Rep +0.01
12,000 Roubles
1× OPSMEN Earmor M32 headset",No,"Previous:
-","Leads to:
Supplier"
Supplier,PickUp,"Hand over 1 found in raid Module-3M armor to Skier
Hand over 1 found in raid TOZ-106 shotgun to Skier","+3,300 EXP
Skier Rep +0.05
60,000 Roubles
1× Saiga-9 9x19 carbine
Unlocks purchase of Saiga-9 9x19 carbine at Skier LL1
Unlocks purchase of 7.62x54mm R SP BT at Skier LL1",Yes,"Previous:
Burning Rubber","Leads to:
The Extortionist
Stirrup
Friend From the West - Part 1"
The Extortionist,PickUp,"Obtain the hidden valuable cargo on Customs
(Optional) Find the messenger's body
(Optional) Find the place where the messenger hid the cargo
Hand over the valuable cargo to Skier","+3,200 EXP
Skier Rep +0.04
500 Dollars
1× Molot Arms VPO-209 .366 TKM carbine
3× AK 7.62x39 30-round magazine (issued '55 or later)
120× .366 TKM EKO
1x BNTI Zhuk body armor (Press)
Unlocks purchase of Remington Model 870 12ga pump-action shotgun at Skier LL1",Yes,"Previous:
Supplier","Leads to:
What’s on the Flash Drive?"
Stirrup,Elimination,Eliminate 3 PMCs while using pistols,"+5,300 EXP
Skier Rep +0.05
Prapor Rep -0.05
Therapist Rep -0.02
70,000 Roubles
1× Camelbak Tri-Zip assault backpack (Foliage)
Unlocks purchase of Chiappa Rhino 50DS .357 revolver (variant Tactical) at Skier LL2",Yes,"Previous:
Supplier","Leads to:
-"
What’s on the Flash Drive?,PickUp,"Find 2 Secure flash drives in raid
Hand over 2 Secure flash drives to Skier","+4,500 EXP
Skier Rep +0.04
30,000 Roubles
1× Molot Arms Simonov OP-SKS 7.62x39 carbine (variant UAS)
2× SKS 7.62x39 TAPCO 6610 20-round magazine
1× SKS Hexagon 7.62x39 sound suppressor",Yes,"Previous:
The Extortionist","Leads to:
Golden Swag
Shady Business"
Golden Swag,Completion,"Find the Golden Zibbo lighter
Stash the Golden Zibbo lighter in the bunkhouse in the trailer parking lot on Customs","+4,500 EXP
Skier Rep +0.04
17,000 Roubles
1× Soyuz-TM STM-9 Gen.2 9x19 carbine
2× Glock 9x19 ""Big Stick"" 33-round magazine 
120× 9x19mm Green Tracer
Unlocks purchase of VOMZ Pilad P1x42 Weaver reflex sight at Skier LL2",Yes,"Previous:
What’s on the Flash Drive?","Leads to:
Chemical - Part 1"
Chemical - Part 1,PickUp,"Obtain information about the Deputy Chief's past life on Customs
(Optional) Locate the sleeping place of the former Deputy Chief of Security on Customs
Hand over the information to Skier
Obtain items that can help the investigation
Hand over the items to Skier","+4,800 EXP
Skier Rep +0.04
15,000 Roubles
1× MSA ACH TC-2002 MICH Series helmet (Olive Drab)",Yes,"Previous:
Golden Swag","Leads to:
Chemical - Part 2
Polikhim Hobo"
Chemical - Part 2,PickUp,"Find any evidence on Customs that could help with the investigation
Hand over the evidence to Skier
Find any information on Customs that could help with the investigation
Hand over the info to Skier","+4,800 EXP
Skier Rep +0.04
15,000 Roubles
3× F-1 hand grenade
2× TP-200 TNT brick
Unlocks purchase of SOK-12 12/76 SAI-02 10-round magazine at Jaeger LL2",Yes,"Previous:
Chemical - Part 1","Leads to:
Chemical - Part 3"
Chemical - Part 3,PickUp,"Obtain the chemical-filled syringe hidden in Factory
Hand over the chemical-filled syringe to Skier","+5,400 EXP
Skier Rep +0.04
Jaeger Rep -0.01
22,000 Roubles
1× BelOMO PSO-1M2-1 4x24 scope
4× ""Zarya"" stun grenade",Yes,"Previous:
Chemical - Part 2","Leads to:
Vitamins - Part 1
Chemical - Part 4
Out of Curiosity
Big Customer"
Chemical - Part 4,PickUp,"Find the transport with the chemicals
Mark the chemical transport vehicle with an MS2000 Marker
Survive and extract from Customs","+6,500 EXP
Skier Rep +0.04
35,000 Roubles
1× Grenade case","No, but a subsequent quest Yes","Previous:
Chemical - Part 3","Leads to:
No Offence
Trust Regain
Safe Corridor"
Loyalty Buyout,Standing,"Hand over 1,000,000 RUB to Skier",Skier Rep +0.25,No,"Previous:
Out of Curiosity
or
Big Customer","Leads to:
-"
Vitamins - Part 1,PickUp,"Obtain the first Chemical container
Hand over the first Chemical container to Skier
Obtain the second Chemical container
Hand over the second Chemical container to Skier
Obtain the third Chemical container
Hand over the third Chemical container to Skier","+13,000 EXP
Skier Rep +0.05
Jaeger Rep -0.01
40,000 Roubles
3× Holosun HS401G5 reflex sight
2× Trijicon SRS-02 reflex sight",Yes,"Previous:
Chemical - Part 3","Leads to:
Vitamins - Part 2"
Vitamins - Part 2,PickUp,"Find 4 Respirators in raid
Hand over 4 Respirators to Skier
Find 3 Medical bloodsets in raid
Hand over 3 Medical bloodsets to Skier","+15,800 EXP
Skier Rep +0.05
40,000 Roubles
4× Morphine injector
1× Golden Star balm
Unlocks purchase of TDI KRISS Vector Gen.2 9x19 submachine gun at Skier LL3",Yes,"Previous:
Vitamins - Part 1","Leads to:
Beyond the Red Meat - Part 1
Pyramid Scheme"
Friend From the West - Part 1,Elimination,"Eliminate 7 USEC PMCs
Obtain 7 USEC PMC dogtags
Hand over 7 USEC PMC dogtags to Skier","+10,000 EXP
Skier Rep +0.06
700 Dollars
2× ADAR 2-15 5.56x45 carbine
60× 5.56x45mm M855A1
1× Roler Submariner gold wrist watch",Yes,"Previous:
Supplier","Leads to:
Friend From the West - Part 2"
Friend From the West - Part 2,Merchant,"Hand over 6,000 USD to Skier","+6,300 EXP
Skier Rep +0.05
Unlocks purchase of TDI KRISS Vector Gen.2 .45 ACP submachine gun at Skier LL3",Yes,"Previous:
Friend From the West - Part 1","Leads to:
Fishing Gear
Lend-Lease - Part 1
Long Road
Setup"
Informed Means Armed,Completion,"Install a WI-FI Camera to watch the sawmill dock on Woods
Install a WI-FI Camera to watch the road to the port on Customs
Install a WI-FI Camera to watch the Kiba Arms store entrance on Interchange","+14,000 EXP
Skier Rep +0.05
45,000 Roubles
2× AKM/AK-74 FAB Defense UAS stock
4× AK CNC Warrior 5.56x45 muzzle device adapter
1× EOTech Vudu 1-6x24 30mm riflescope",Yes,"Previous:
Setup","Leads to:
Chumming"
Chumming,Completion,"Stash 3 Golden neck chains under the mattress next to BTR-82A in Generic Store on Interchange
Stash 3 Golden neck chains in the microwave on the 3rd floor of the dorm on Customs
Stash 3 Golden neck chains in the middle wooden cabin at the sawmill on Woods
Eliminate 5 PMC operatives in the time period of 22:00-10:00 on Interchange","+19,100 EXP
Skier Rep +0.05
65,000 Roubles
1× Roler Submariner gold wrist watch
2× GP coin",Yes,"Previous:
Informed Means Armed","Leads to:
Flint
Debtor
Bullshit
No Swiping"
Silent Caliber,Elimination,"Eliminate 20 Scavs with using a suppressed 12 gauge shotgun
Eliminate 10 PMCs while using a suppressed 12 gauge shotgun","+18,000 EXP
Skier Rep +0.05
100,000 Roubles
1× MP-155 12ga semi-automatic shotgun (Ultima variant)
Unlocks craft for 12/70 flechette at Workbench level 3",No,"Previous:
Bullshit","Leads to:
-"
Bullshit,Discovery,"Obtain the False flash drive from the specified spot on Customs
Stash the False flash drive in the trash opposite of the stairs on the 3rd floor of the dorm
Stash 1 SV-98 sniper rifle in the trash opposite of the stairs on the 3rd floor of the dorm
Stash 1 Roler Submariner gold wrist watch in the trash opposite of the stairs on the 3rd floor of the dorm
You must not kill any Scavs on Customs until the quest is completed","+29,900 EXP
Skier Rep +0.07
Fence Rep +0.05
120,000 Roubles
1,000 Dollars
Unlocks purchase of CMMG Mk47 Mutant 7.62x39 assault rifle at Skier LL4
Unlocks barter for 12/70 RIP ammo pack (5 pcs) at Skier LL2
Unlocks barter for Kiba Arms Titan ballistic plate at Skier LL3",Yes,"Previous:
Chumming","Leads to:
Silent Caliber"
Setup,Elimination,Eliminate 15 PMC operatives while wearing the specified gear on Customs,"+21,900 EXP
Skier Rep +0.05
Fence Rep +0.05
150,000 Roubles
1× Kel-Tec RFB 7.62x51 rifle
100× 12/70 AP-20 armor-piercing slug
Unlocks barter for 9x19mm RIP ammo pack (20 pcs) at Skier LL4",Yes,"Previous:
Friend From the West - Part 2","Leads to:
Informed Means Armed"
Flint,Skill,Reach the required Stress resistance skill level of 5,"+25,100 EXP
Skier Rep +0.05
150,000 Roubles
3× Bottle of Tarkovskaya vodka
5× Bottle of Pevko Light beer
Unlocks barter for Miller Bros. Blades M-2 Tactical Sword at Skier LL4",Yes,"Previous:
Chumming","Leads to:
-"
Lend-Lease - Part 1,PickUp,"Obtain the first Motor Controller on Woods
Hand over the first controller to Skier
Obtain the second Motor Controller on Shoreline
Hand over the second Motor Controller|controller to Skier
Obtain the third Motor Controller on Shoreline
Hand over the third controller to Skier
Obtain the first Single-axis Fiber Optic Gyroscope on Woods
Hand over the first Single-axis Fiber Optic Gyroscope to Skier
Obtain the second Single-axis Fiber Optic Gyroscope on Shoreline
Hand over the second Single-axis Fiber Optic Gyroscope to Skier","+17,500 EXP
Skier Rep +0.05
3,000 Dollars
1× Armasight N-15 Night Vision Goggles
Unlocks purchase of ORSIS T-5000M 7.62x51 bolt-action sniper rifle at Skier LL3",Yes,"Previous:
Friend From the West - Part 2","Leads to:
Lend-Lease - Part 2"
Kind of Sabotage,PickUp,Hand over Secure Folder 0052 to Skier,"+4,500 EXP
Skier Rep +0.04
180,000 Roubles","No, but a subsequent quest Yes","Previous:
Pharmacist","Leads to:
Dangerous Road
The Huntsman Path - Woods Keeper"
Rigged Game,Discovery,"Put an MS2000 Marker on the medical container at the Health Resort on Shoreline
Put an MS2000 Marker on the medical container by cottages on Shoreline
Put an MS2000 Marker on the medical container at the pier on Shoreline
Survive and extract from the location","+12,900 EXP
Skier Rep +0.05
150,000 Roubles
1× HK MP5 9x19 submachine gun (Navy 3 Round Burst) (variant SD)
3× HK MP5 9x19 30-round magazine
120× 9x19mm Luger CCI",Yes,"Previous:
Anesthesia","Leads to:
Night Sweep
The Huntsman Path - Sadist
or
Colleagues - Part 3"
Safe Corridor,Elimination,Eliminate 10 Scavs in the underground warehouse on Reserve,"+9,000 EXP
Skier Rep +0.04
35,000 Roubles
2× 5.45x39mm BP gs ammo pack (120 pcs)
2× Expeditionary fuel tank",Yes,"Previous:
Chemical - Part 4
or
Out of Curiosity
or
Big Customer","Leads to:
-"
Night Sweep,Pickup,"Find 12 unusual knives in raid
Hand over 12 knives to Skier","+107,000 EXP
+2 Shotguns skill levels
6,000 Dollars
Unlocks craft for XTG-12 antidote injector at Medstation level 2",No,"Previous:
Rigged Game","Leads to:
-"
Long Road,Elimination,Eliminate 15 Scavs along the main road on Lighthouse,"+15,300 EXP
Skier Rep +0.02
45,000 Roubles
Unlocks purchase of Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle (variant Urbana) at Skier LL3",Yes,"Previous:
Friend From the West - Part 2","Leads to:
Missing Cargo"
Missing Cargo,Exploration,"Locate the crashed helicopter on Lighthouse
Find the informant's intelligence folder
Hand over the folder","+14,000 EXP
Skier Rep +0.03
68,000 Roubles
Unlocks purchase of AR-15 Magpul MOE Carbine stock (Black) at Skier LL3
Unlocks purchase of AK Zenit RK-3 pistol grip at Skier LL3
Unlocks purchase of Magpul MOE Carbine rubber buttpad at Skier LL4",Yes,"Previous:
Long Road","Leads to:
Top Secret"
Top Secret,PickUp,"Locate the radar station commandant's office on Lighthouse
Obtain the military HDD with archived flight routes
Hand over the drive","11,700 EXP
Skier Rep +0.03
50,000 Roubles
1× Rifle Dynamics RD-704 7.62x39 assault rifle
2× AK 7.62x39 FAB Defense Ultimag 30R 30-round magazine
60× 7.62x39mm MAI AP",No,"Previous:
Missing Cargo
Getting Acquainted (+21-22hr)","Leads to:
-"
House Arrest - Part 1,Exploration,"Locate where the missing group was held captive on Streets of Tarkov
Survive and extract from the location","+28,800 EXP
Skier Rep +0.03
112,000 Roubles
1× Kel-Tec RFB 7.62x51 rifle",No,"Previous:
Debtor","Leads to:
House Arrest - Part 2 (+21hr)"
House Arrest - Part 2,Exploration,"Locate the improvised jail warden's apartment on Streets of Tarkov
Find out what happened to the warden
Survive and extract from the location","+29,200 EXP
Skier Rep +0.03
114,000 Roubles
1× TDI KRISS Vector Gen.2 9x19 submachine gun",No,"Previous:
House Arrest - Part 1 (+21hr)","Leads to:
-"
Debtor,Exploration,"Find the debtor on Streets of Tarkov
Survive and extract from the location","+26,600 EXP
Skier Rep +0.03
250,000 Roubles",No,"Previous:
Chumming","Leads to:
House Arrest - Part 1"
Beyond the Red Meat - Part 1,Pickup,"Locate and obtain information on culinary secrets at the Beluga restaurant on Streets of Tarkov
Hand over the found data","+18,400 EXP
Skier Rep +0.02
80,000 Roubles
2× SAG AK-545 5.45x39 carbine
4× AK-74 5.45x39 6L23 30-round magazine (black)
6× 5.45x39mm BT gs ammo pack (30 pcs)
Unlocks purchase of AK CSS knurled charging handle at Skier LL3",No,"Previous:
Vitamins - Part 2","Leads to:
Beyond the Red Meat - Part 2"
Beyond the Red Meat - Part 2,Pickup,"Locate and obtain the secret ingredient at the TerraGroup office on Streets of Tarkov
Hand over the chemical additive","+21,300 EXP
Skier Rep +0.03
120,000 Roubles
1× SIG MCX .300 Blackout assault rifle
3× 5.56x45 Colt AR-15 STANAG 30-round magazine
120× .300 Blackout CBJ
Unlocks purchase of Zenit RK-1 tactical foregrip on B-25U mount at Skier LL4",No,"Previous:
Beyond the Red Meat - Part 1","Leads to:
-"
Pyramid Scheme,Exploration,"Locate the first ATM on Nizhnaya Sadovaya Street on Streets of Tarkov
Locate the second ATM on Nizhnaya Sadovaya Street on Streets of Tarkov
Locate the ATM on Razvedchikov Street on Streets of Tarkov
Locate the first group of ATMs on Klimov Street on Streets of Tarkov
Locate the first ATM on Klimov Street on Streets of Tarkov
Locate the group of ATMs on Klimov Street on Streets of Tarkov
Locate the second ATM on Klimov Street on Streets of Tarkov
Locate the fourth group of ATMs on Klimov Street on Streets of Tarkov
Locate the fifth group of ATMs on Klimov Street on Streets of Tarkov
Locate the third ATM on Klimov Street on Streets of Tarkov
Locate the fourth ATM on Klimov Street on Streets of Tarkov
Locate the first ATM on Primorsky Ave on Streets of Tarkov
Locate the second ATM on Primorsky Ave on Streets of Tarkov
Locate the third ATM on Primorsky Ave on Streets of Tarkov
Locate the ATM at the expo on Streets of Tarkov","+25,500 EXP
Skier Rep +0.03
600,000 Roubles",No,"Previous:
Vitamins - Part 2","Leads to:
-"
No Swiping,Elimination,"Locate the smugglers' base on Shoreline
Eliminate any 25 enemies in the base area","+26,000 EXP
Skier Rep +0.04
280,000 Roubles
1× Propane tank (5L)
1× Car battery
1× Silicone tube
1× Alkaline cleaner for heat exchangers
1× Can of Majaica coffee beans",No,"Previous:
Chumming","Leads to:
-"
Fishing Gear,Completion,"Find the boat hidden next to the breakwater on Shoreline
Stash 1 sniper rifle in the boat
Stash 1 multitool in the boat
Survive and extract from the location","+4,800 EXP
Peacekeeper Rep +0.02
700 Dollars
1× UNTAR helmet
Unlocks purchase of SIG Sauer ROMEO4 reflex sight at Peacekeeper LL2
Unlocks barter for Springfield Armory M1A 7.62x51 rifle at Peacekeeper LL2",Yes,"Previous:
Friend From the West - Part 2","Leads to:
Tigr Safari
Samples"
Tigr Safari,Discovery,"Mark the first Tigr vehicle with an MS2000 Marker on Customs
Mark the second Tigr vehicle with an MS2000 Marker on Customs
Mark the third Tigr vehicle with an MS2000 Marker on Customs
Survive and extract from the location","+5,900 EXP
Peacekeeper Rep +0.03
900 Dollars
1× Direct Action Thunderbolt compact chest rig (Shadow Grey)
2× M67 hand grenade
Unlocks purchase of B&T MP9 9x19 submachine gun at Peacekeeper LL1",Yes,"Previous:
Fishing Gear","Leads to:
Scrap Metal"
Scrap Metal,Discovery,"Mark the first T-90 tank with an MS2000 Marker on Shoreline
Mark the second T-90 tank with an MS2000 Marker on Shoreline
Mark the third T-90 tank with an MS2000 Marker on Shoreline
Survive and extract from the location","+5,900 EXP
Peacekeeper Rep +0.03
900 Dollars
1× HK MP5 9x19 submachine gun (Navy 3 Round Burst)
120× 9x19mm Pst gzh
Unlocks purchase of HK MP5 9x19 submachine gun (Navy 3 Round Burst) (variant SD) at Peacekeeper LL2
Unlocks purchase of 5.7x28mm SS197SR at Peacekeeper LL2",Yes,"Previous:
Tigr Safari","Leads to:
Eagle Eye"
Eagle Eye,PickUp,"Find the first UAV crash site on Shoreline
Obtain the SAS disk from the first crashed drone
Hand over the first SAS disk  to Peacekeeper
Find the second UAV crash site on Shoreline
Obtain the SAS disk from the second crashed drone
Hand over the second SAS disk  to Peacekeeper","+6,600 EXP
Peacekeeper Rep +0.03
900 Dollars
1× ELCAN SpecterDR 1x/4x scope (FDE)
1× Leupold Mark 4 HAMR 4x24 DeltaPoint hybrid assault scope
Unlocks purchase of SIG MPX 9x19 submachine gun at Peacekeeper LL2",Yes,"Previous:
Scrap Metal","Leads to:
Humanitarian Supplies"
Humanitarian Supplies,Discovery,"Mark the first truck with an MS2000 Marker
(Optional) Find the first truck that was holding the lost UN cargo on Shoreline
Mark the second truck with an MS2000 Marker
(Optional) Find the second truck that was holding the lost UN cargo on Shoreline
Obtain 5 MRE ration packs
Hand over 5 MRE ration packs to Peacekeeper
Survive and extract from the location
Eliminate 10 Scavs on Shoreline while wearing a UN uniform (MF-UNTAR body armor and UN helmet)","+11,500 EXP
Peacekeeper Rep +0.03
800 Dollars
2× Weapon parts
Unlocks purchase of 5.56x45mm Warmageddon at Peacekeeper LL2
Unlocks purchase of AK-74 Hexagon 5.45x39 sound suppressor at Skier LL2",Yes,"Previous:
Eagle Eye","Leads to:
The Cult - Part 1
Spa Tour - Part 1
Revision - Reserve"
The Cult - Part 1,Exploration,"Find the missing informant on Shoreline
Survive and extract from the location","+6,200 EXP
Peacekeeper Rep +0.02
700 Dollars
3× Golden neck chain",Yes,"Previous:
Humanitarian Supplies","Leads to:
The Cult - Part 2"
The Cult - Part 2,Exploration,"Put the MS2000 Marker in the first ritual spot on Woods
Put the MS2000 Marker in the ritual spot on Customs
Put the MS2000 Marker in the second ritual spot on Woods
Put the MS2000 Marker in the ritual spot on Shoreline","+7,500 EXP
Peacekeeper Rep +0.03
850 Dollars
1× Knight's Armament Company SR-25 7.62x51 marksman rifle",Yes,"Previous:
The Cult - Part 1","Leads to:
-"
Spa Tour - Part 1,Elimination,Headshot 7 Scavs on Shoreline while using a 12 gauge shotgun,"+7,400 EXP
Peacekeeper Rep +0.03
950 Dollars
1× SIG MPX 9x19 submachine gun (variant Silenced)
3× MPX 9x19 30-round magazine
90× 9x19mm RIP
1x Health Resort west wing room 306 key",Yes,"Previous:
Humanitarian Supplies","Leads to:
Spa Tour - Part 2
Overpopulation"
Spa Tour - Part 2,Exploration,"Mark the helicopter on Shoreline with an MS2000 Marker
Mark the safe road on Shoreline with an MS2000 Marker
Survive and extract from the location","+6,300 EXP
Peacekeeper Rep +0.02
900 Dollars
1× Physical Bitcoin
Unlocks purchase of M67 hand grenade at Peacekeeper LL3",Yes,"Previous:
Spa Tour - Part 1","Leads to:
Spa Tour - Part 3"
Spa Tour - Part 3,PickUp,"Find 1 WD-40 (100ml) in raid
Hand over 1 WD-40 (100ml) to Peacekeeper
Find 2 Clin window cleaners in raid
Hand over 2 Clin window cleaners to Peacekeeper
Find 2 Corrugated hoses in raid
Hand over 2 Corrugated hoses to Peacekeeper
Find 2 Ox bleaches in raid
Hand over 2 Ox bleaches to Peacekeeper","+7,600 EXP
Peacekeeper Rep +0.03
800 Dollars
1× TDI KRISS Vector Gen.2 9x19 submachine gun
5× M67 hand grenade
4× Glock 9x19 ""Big Stick"" 33-round magazine
2× Toolset",Yes,"Previous:
Spa Tour - Part 2","Leads to:
Spa Tour - Part 4
Counteraction"
Spa Tour - Part 4,Discovery,"Locate the generators in the east wing of the Health Resort
Locate the generators in the west wing of the Health Resort
Survive and extract from the location","+7,700 EXP
Peacekeeper Rep +0.03
1,100 Dollars
1× Car battery",Yes,"Previous:
Spa Tour - Part 3","Leads to:
Spa Tour - Part 5"
Spa Tour - Part 5,PickUp,"Obtain the key to the closed premises of the Sanatorium
Hand over the key to Peacekeeper","+6,500 EXP
Peacekeeper Rep +0.02
980 Dollars
1× RB-AO key",Yes,"Previous:
Spa Tour - Part 4","Leads to:
Spa Tour - Part 6"
Spa Tour - Part 6,Standing,"Hand over 8,000 USD to Peacekeeper","+9,500 EXP
Peacekeeper Rep +0.04",Yes,"Previous:
Spa Tour - Part 5","Leads to:
Spa Tour - Part 7"
Spa Tour - Part 7,PickUp,"Find 4 Morphine injectors in raid
Hand over 4 Morphine injectors to Peacekeeper
Find 2 Alkaline cleaners for heat exchangers in raid
Hand over 2 Alkaline cleaners for heat exchangers to Peacekeeper
Find 2 Corrugated hoses in raid
Hand over 2 Corrugated hoses to Peacekeeper
Find 2 5L propane tanks in raid
Hand over 2 5L propane tanks to Peacekeeper","+9,700 EXP
Peacekeeper Rep +0.04
Jaeger Rep -0.01
1× RB-ST key
Unlocks purchase of Crye Precision AirFrame helmet (Tan) at Peacekeeper LL4",Yes,"Previous:
Spa Tour - Part 6","Leads to:
Wet Job - Part 1
Cargo X - Part 1
Green Corridor
Road Closed"
