Quest Title,Type,Objectives,Rewards,Required for Kappa,Previous Quest,next
General Wares,Completion,"Find 15 Small cans of beef stew in raid
Hand over 15 Small cans of beef stew to Therapist","+4,800 EXP
Therapist Rep +0.03
30,000 Roubles
4× Can of pacific saury
2× Iskra ration pack
2× Can of Majaica coffee beans",Yes,"Previous:
Pharmacist","Leads to:
Colleagues - Part 1"
Colleagues - Part 1,Exploration,"Locate the group that was sent to the Health Resort on Shoreline
Locate the group that was sent to the pier on Shoreline
Locate the group that was sent to the cottages on Shoreline
Survive and extract from the location","+12,300 EXP
Therapist Rep +0.04
45,000 Roubles
2× SJ1 TGLabs combat stimulant injector
2× SJ6 TGLabs combat stimulant injector",Yes,"Previous:
General Wares","Leads to:
Colleagues - Part 2
Chemistry Closet"
Colleagues - Part 2,PickUp,"Locate and obtain Sanitar's surgery kit marked with a blue symbol on Shoreline
Hand over Sanitar's surgery kit to Therapist
Locate and obtain Sanitar's ophthalmoscope on Shoreline
Hand over Sanitar's ophthalmoscope to Therapist","+12,400 EXP
Therapist Rep +0.04
60,000 Roubles
1× Surv12 field surgical kit
1× P22 (Product 22) stimulant injector",Yes,"Previous:
Colleagues - Part 1","Leads to:
The Huntsman Path - Sadist
or
Colleagues - Part 3"
Colleagues - Part 3,PickUp,"Do not kill Sanitar
Find 10 TerraGroup Labs access keycards in raid
Hand over the keycards
Find AHF1-M stimulant injector in raid
Hand over the injector
Find 3-(b-TG) stimulant injector in raid
Hand over the injector","+15,800 EXP
Therapist Rep +0.04
Fence Rep +0.25
150,000 Roubles
1× TerraGroup Labs keycard (Black)
1× Medicine case
3× L1 (Norepinephrine) injector
3× Meldonin injector
5× ""Obdolbos 2"" cocktail injector
4× Grizzly medical kit","No, but a subsequent quest Yes","Previous:
Colleagues - Part 2
Rigged Game
Chemistry Closet","Leads to:
TerraGroup Employee
Swift One"
Postman Pat - Part 2,PickUp,Hand over the letter from Prapor's messenger,"+3,500 EXP
Therapist Rep +0.02
5,000 Roubles
Unlocks purchase of Salewa first aid kit at Therapist LL2",Yes,"Previous:
Postman Pat - Part 1","Leads to:
-"
Out of Curiosity,PickUp,"Find the transport with the chemicals on Customs
Mark the vehicle with an MS2000 Marker
Survive and extract from Customs","+7,700 EXP
Therapist Rep +0.04
170,000 Roubles
1× Injector case","No, but a subsequent quest Yes","Previous:
Chemical - Part 3","Leads to:
Loyalty Buyout
No Offence
Safe Corridor"
Trust Regain,PickUp,"Obtain 1 Dorm room 303 key
Obtain 1 ZB-014 key
Obtain 1 Military checkpoint key
Obtain 1 Gas station storage room key
Hand over 1 Dorm room 303 key to Therapist
Hand over 1 ZB-014 key to Therapist
Hand over 1 Customs military checkpoint key to Therapist
Hand over 1 Gas station storage room key to Therapist",Therapist Rep +0.25,No,"Previous:
Chemical - Part 4
or
Big Customer","Leads to:
-"
Crisis,PickUp,"Find 3 Portable defibrillators in raid
Find 3 Ophthalmoscopes in raid
Find 2 LEDX Skin Transilluminators in raid
Find 20 Piles of meds in raid
Find 10 Bottles of OLOLO Multivitamins in raid
Hand over the 3 ophthalmoscopes
Hand over the 3 defibrillators
Hand over the 2 LEDX
Hand over the 20 Piles of meds
Hand over the 10 multivitamins","+97,000 EXP
1× Medicine case
+4 Immunity skill level
+4 Vitality skill level
+4 Surgery skill level
Unlocks craft for ETG-change regenerative stimulant injector at Medstation level 2
Unlocks craft for M.U.L.E. stimulant injector at Medstation level 2",Yes,,
Seaside Vacation,PickUp,"Find the informant's briefcase on Lighthouse
Hand over the found package","8,000 EXP
Therapist Rep +0.02
50,000 Roubles
Unlocks purchase of Aluminum splint at Therapist LL3",Yes,"Previous:
Disease History","Leads to:
-"
Lost Contact,Discovery,"Find the lost group in the chalet area on Lighthouse
Survive and extract from the location","+7,000 EXP
Therapist Rep +0.02
40,000 Roubles
Unlocks barter for Grizzly medical kit at Therapist LL2",Yes,"Previous:
Health Care Privacy - Part 2","Leads to:
Drug Trafficking"
Population Census,PickUp,"Obtain the journal containing resident details on Streets of Tarkov
Hand over the journal","+6,900 EXP
Therapist Rep +0.02
35,000 Roubles
2× Salewa first aid kit
2× Medical tools",No,"Previous:
Pharmacist","Leads to:
Urban Medicine
Pets Won't Need It - Part 1"
Dangerous Road,Exploration,Survive and extract from Streets of Tarkov through Primorsky Ave Taxi V-Ex,"+7,800 EXP
Therapist Rep +0.01
45,000 Roubles
2× Aluminum splint
2× CALOK-B hemostatic applicator",No,"Previous:
Kind of Sabotage
or
Supply Plans","Leads to:
-"
Urban Medicine,PickUp,"Locate the chemical laboratory on Streets of Tarkov
Obtain the container with drug samples
Hand over the container","+10,200 EXP
Therapist Rep +0.02
51,000 Roubles
2× Adrenaline injector
1× Zagustin hemostatic drug injector",No,"Previous:
Population Census","Leads to:
The Huntsman Path - Big Game
Ambulances Again"
Drug Trafficking,Completion,"Locate the hidden drug lab on Lighthouse
Stash a WI-FI Camera in the drug lab","+7,500 EXP
Therapist Rep +0.03
45,000 Roubles
1× Propital regenerative stimulant injector
1× ETG-change regenerative stimulant injector
1× Zagustin hemostatic drug injector",Yes,"Previous:
Lost Contact","Leads to:
-"
Pets Won't Need It - Part 1,Exploration,"Locate and scout the vet clinic on Streets of Tarkov
Locate and scout the x-ray technician's room on Streets of Tarkov
Survive and extract from the location","+8,100 EXP
Therapist Rep +0.01
43,000 Roubles
4× Adrenaline injector
2× Medical bloodset
2× Bottle of saline solution",No,"Previous:
Population Census","Leads to:
Pets Won't Need It - Part 2"
Pets Won't Need It - Part 2,Exploration,"Locate the first pharmacy on Primorsky Ave on Streets of Tarkov
Locate the second pharmacy on Primorsky Ave on Streets of Tarkov
Locate the third pharmacy at Cardinal apartment complex on Streets of Tarkov
Survive and extract from the location","+9,000 EXP
Therapist Rep +0.02
55,000 Roubles
4× Disposable syringe
4× Pile of meds
2× Morphine injector
2× L1 (Norepinephrine) injector",No,"Previous:
Pets Won't Need It - Part 1","Leads to:
-"
Ambulances Again,Pickup,"Locate and obtain the ambulance paramedic's smartphone on Streets of Tarkov
Extract from Streets of Tarkov through Primorsky Ave Taxi V-Ex
Hand over the smartphone","+12,000 EXP
Therapist Rep +0.01
100,000 Roubles
2× Grizzly medical kit
2× Surv12 field surgical kit
Unlocks barter for Propital regenerative stimulant injector at Therapist LL2",No,"Previous:
Cease Fire!
Urban Medicine","Leads to:
-"
